source_row,timestamp,CO(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,eligible,missing_target,all_predictors_missing
2,2004-03-10 18:00:00,2.6,1360.0,1046.0,1056.0,1692.0,1268.0,13.6,48.9,0.7578,True,False,False
3,2004-03-10 19:00:00,2.0,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,True,False,False
4,2004-03-10 20:00:00,2.2,1402.0,939.0,1140.0,1555.0,1074.0,11.9,54.0,0.7502,True,False,False
5,2004-03-10 21:00:00,2.2,1376.0,948.0,1092.0,1584.0,1203.0,11.0,60.0,0.7867,True,False,False
6,2004-03-10 22:00:00,1.6,1272.0,836.0,1205.0,1490.0,1110.0,11.2,59.6,0.7888,True,False,False
7,2004-03-10 23:00:00,1.2,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,True,False,False
8,2004-03-11 00:00:00,1.2,1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,True,False,False
9,2004-03-11 01:00:00,1.0,1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,True,False,False
10,2004-03-11 02:00:00,0.9,1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,True,False,False
11,2004-03-11 03:00:00,0.6,1010.0,561.0,1705.0,1235.0,501.0,10.3,60.2,0.7517,True,False,False
12,2004-03-11 04:00:00,,1011.0,527.0,1818.0,1197.0,445.0,10.1,60.5,0.7465,False,True,False
13,2004-03-11 05:00:00,0.7,1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,True,False,False
14,2004-03-11 06:00:00,0.7,1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,True,False,False
15,2004-03-11 07:00:00,1.1,1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,True,False,False
16,2004-03-11 08:00:00,2.0,1333.0,900.0,1136.0,1517.0,1102.0,10.8,57.4,0.7408,True,False,False
17,2004-03-11 09:00:00,2.2,1351.0,960.0,1079.0,1583.0,1028.0,10.5,60.6,0.7691,True,False,False
18,2004-03-11 10:00:00,1.7,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,True,False,False
19,2004-03-11 11:00:00,1.5,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,True,False,False
