parameter,multiplier,value,battery_power_W,endurance_h,endurance_change_pct
mass_kg,0.8,19.200000000000003,33.69420079149219,2.5201666163704077,10.160651143081889
mass_kg,1,24,37.11775098936525,2.2877194263286404,0.0
mass_kg,1.2,28.799999999999997,40.54130118723829,2.094530701119425,-8.444598711969109
speed_m_s,0.8,0.2,33.69420079149219,2.5201666163704077,10.160651143081889
speed_m_s,1,0.25,37.11775098936525,2.2877194263286404,0.0
speed_m_s,1.2,0.3,40.54130118723829,2.094530701119425,-8.444598711969109
Crr,0.8,0.048,36.2485611437683,2.342575741509073,2.397860268576135
Crr,1,0.06,37.11775098936525,2.2877194263286404,0.0
Crr,1.2,0.072,37.98694083496219,2.2353734766092677,-2.2881280421427452
efficiency,0.8,0.6400000000000001,41.39718873670655,2.0512262448562493,-10.337508120561722
efficiency,1,0.8,37.11775098936525,2.2877194263286404,0.0
efficiency,1.2,0.96,34.264792491137705,2.4781997445909685,8.326209764630676
aux_W,0.8,16.0,33.11775098936525,2.564032806070311,12.078114849297815
aux_W,1,20,37.11775098936525,2.2877194263286404,0.0
aux_W,1.2,24.0,41.11775098936525,2.0651664538258068,-9.72815852947445
