speed_m_s,total_latency_s,available_deceleration_m_s2,geometric_margin_m,required_clearance_m
0.0,0.1,0.3,0.15,0.15
0.01,0.1,0.3,0.15,0.15116666666666667
0.02,0.1,0.3,0.15,0.15266666666666667
0.03,0.1,0.3,0.15,0.1545
0.04,0.1,0.3,0.15,0.15666666666666665
0.05,0.1,0.3,0.15,0.15916666666666665
0.06,0.1,0.3,0.15,0.162
0.07,0.1,0.3,0.15,0.16516666666666666
0.08,0.1,0.3,0.15,0.16866666666666666
0.09,0.1,0.3,0.15,0.1725
0.1,0.1,0.3,0.15,0.17666666666666667
0.11,0.1,0.3,0.15,0.18116666666666667
0.12,0.1,0.3,0.15,0.186
0.13,0.1,0.3,0.15,0.19116666666666665
0.14,0.1,0.3,0.15,0.19666666666666666
0.15,0.1,0.3,0.15,0.20249999999999999
0.16,0.1,0.3,0.15,0.20866666666666667
0.17,0.1,0.3,0.15,0.21516666666666667
0.18,0.1,0.3,0.15,0.22199999999999998
0.19,0.1,0.3,0.15,0.22916666666666666
0.2,0.1,0.3,0.15,0.2366666666666667
0.21,0.1,0.3,0.15,0.2445
0.22,0.1,0.3,0.15,0.25266666666666665
0.23,0.1,0.3,0.15,0.26116666666666666
0.24,0.1,0.3,0.15,0.27
0.25,0.1,0.3,0.15,0.2791666666666667
0.26,0.1,0.3,0.15,0.2886666666666667
0.27,0.1,0.3,0.15,0.2985
0.28,0.1,0.3,0.15,0.30866666666666664
0.29,0.1,0.3,0.15,0.31916666666666665
0.3,0.1,0.3,0.15,0.32999999999999996
0.31,0.1,0.3,0.15,0.3411666666666667
0.32,0.1,0.3,0.15,0.3526666666666667
0.33,0.1,0.3,0.15,0.36450000000000005
0.34,0.1,0.3,0.15,0.3766666666666667
0.35000000000000003,0.1,0.3,0.15,0.3891666666666667
0.36,0.1,0.3,0.15,0.402
0.37,0.1,0.3,0.15,0.4151666666666667
0.38,0.1,0.3,0.15,0.42866666666666664
0.39,0.1,0.3,0.15,0.4425000000000001
0.4,0.1,0.3,0.15,0.4566666666666668
0.41000000000000003,0.1,0.3,0.15,0.47116666666666673
0.42,0.1,0.3,0.15,0.486
0.43,0.1,0.3,0.15,0.5011666666666666
0.44,0.1,0.3,0.15,0.5166666666666666
0.45,0.1,0.3,0.15,0.5325
0.46,0.1,0.3,0.15,0.5486666666666666
0.47000000000000003,0.1,0.3,0.15,0.5651666666666667
0.48,0.1,0.3,0.15,0.582
0.49,0.1,0.3,0.15,0.5991666666666666
0.5,0.1,0.3,0.15,0.6166666666666667
0.51,0.1,0.3,0.15,0.6345
0.52,0.1,0.3,0.15,0.6526666666666667
0.53,0.1,0.3,0.15,0.6711666666666668
0.54,0.1,0.3,0.15,0.6900000000000001
0.55,0.1,0.3,0.15,0.7091666666666668
0.56,0.1,0.3,0.15,0.7286666666666668
0.5700000000000001,0.1,0.3,0.15,0.7485000000000003
0.58,0.1,0.3,0.15,0.7686666666666667
0.59,0.1,0.3,0.15,0.7891666666666667
0.6,0.1,0.3,0.15,0.8099999999999999
0.61,0.1,0.3,0.15,0.8311666666666667
0.62,0.1,0.3,0.15,0.8526666666666668
0.63,0.1,0.3,0.15,0.8745000000000002
0.64,0.1,0.3,0.15,0.8966666666666668
0.65,0.1,0.3,0.15,0.9191666666666668
0.66,0.1,0.3,0.15,0.9420000000000001
0.67,0.1,0.3,0.15,0.9651666666666668
0.68,0.1,0.3,0.15,0.9886666666666669
0.6900000000000001,0.1,0.3,0.15,1.0125000000000002
0.7000000000000001,0.1,0.3,0.15,1.0366666666666668
0.71,0.1,0.3,0.15,1.0611666666666666
0.72,0.1,0.3,0.15,1.0859999999999999
0.73,0.1,0.3,0.15,1.1111666666666664
0.74,0.1,0.3,0.15,1.1366666666666665
0.75,0.1,0.3,0.15,1.1624999999999999
0.76,0.1,0.3,0.15,1.1886666666666665
0.77,0.1,0.3,0.15,1.2151666666666665
0.78,0.1,0.3,0.15,1.2420000000000002
0.79,0.1,0.3,0.15,1.2691666666666668
0.8,0.1,0.3,0.15,1.2966666666666669
0.81,0.1,0.3,0.15,1.3245000000000002
0.8200000000000001,0.1,0.3,0.15,1.352666666666667
0.8300000000000001,0.1,0.3,0.15,1.3811666666666667
0.84,0.1,0.3,0.15,1.41
0.85,0.1,0.3,0.15,1.4391666666666665
0.86,0.1,0.3,0.15,1.4686666666666666
0.87,0.1,0.3,0.15,1.4985
0.88,0.1,0.3,0.15,1.5286666666666666
0.89,0.1,0.3,0.15,1.5591666666666666
0.9,0.1,0.3,0.15,1.59
0.91,0.1,0.3,0.15,1.6211666666666666
0.92,0.1,0.3,0.15,1.6526666666666667
0.93,0.1,0.3,0.15,1.6845
0.9400000000000001,0.1,0.3,0.15,1.716666666666667
0.9500000000000001,0.1,0.3,0.15,1.7491666666666668
0.96,0.1,0.3,0.15,1.782
0.97,0.1,0.3,0.15,1.8151666666666666
0.98,0.1,0.3,0.15,1.8486666666666667
0.99,0.1,0.3,0.15,1.8824999999999998
1.0,0.1,0.3,0.15,1.9166666666666667
0.0,0.1,0.5,0.15,0.15
0.01,0.1,0.5,0.15,0.15109999999999998
0.02,0.1,0.5,0.15,0.1524
0.03,0.1,0.5,0.15,0.15389999999999998
0.04,0.1,0.5,0.15,0.1556
0.05,0.1,0.5,0.15,0.1575
0.06,0.1,0.5,0.15,0.1596
0.07,0.1,0.5,0.15,0.1619
0.08,0.1,0.5,0.15,0.1644
0.09,0.1,0.5,0.15,0.1671
0.1,0.1,0.5,0.15,0.16999999999999998
0.11,0.1,0.5,0.15,0.1731
0.12,0.1,0.5,0.15,0.1764
0.13,0.1,0.5,0.15,0.1799
0.14,0.1,0.5,0.15,0.18359999999999999
0.15,0.1,0.5,0.15,0.1875
0.16,0.1,0.5,0.15,0.1916
0.17,0.1,0.5,0.15,0.19590000000000002
0.18,0.1,0.5,0.15,0.2004
0.19,0.1,0.5,0.15,0.2051
0.2,0.1,0.5,0.15,0.21000000000000002
0.21,0.1,0.5,0.15,0.21509999999999999
0.22,0.1,0.5,0.15,0.22039999999999998
0.23,0.1,0.5,0.15,0.2259
0.24,0.1,0.5,0.15,0.2316
0.25,0.1,0.5,0.15,0.2375
0.26,0.1,0.5,0.15,0.2436
0.27,0.1,0.5,0.15,0.2499
0.28,0.1,0.5,0.15,0.2564
0.29,0.1,0.5,0.15,0.2631
0.3,0.1,0.5,0.15,0.27
0.31,0.1,0.5,0.15,0.2771
0.32,0.1,0.5,0.15,0.2844
0.33,0.1,0.5,0.15,0.29190000000000005
0.34,0.1,0.5,0.15,0.2996
0.35000000000000003,0.1,0.5,0.15,0.3075
0.36,0.1,0.5,0.15,0.3156
0.37,0.1,0.5,0.15,0.32389999999999997
0.38,0.1,0.5,0.15,0.33240000000000003
0.39,0.1,0.5,0.15,0.3411
0.4,0.1,0.5,0.15,0.35000000000000003
0.41000000000000003,0.1,0.5,0.15,0.35910000000000003
0.42,0.1,0.5,0.15,0.36839999999999995
0.43,0.1,0.5,0.15,0.3779
0.44,0.1,0.5,0.15,0.3876
0.45,0.1,0.5,0.15,0.3975
0.46,0.1,0.5,0.15,0.40759999999999996
0.47000000000000003,0.1,0.5,0.15,0.41790000000000005
0.48,0.1,0.5,0.15,0.4284
0.49,0.1,0.5,0.15,0.43909999999999993
0.5,0.1,0.5,0.15,0.44999999999999996
0.51,0.1,0.5,0.15,0.46109999999999995
0.52,0.1,0.5,0.15,0.47240000000000004
0.53,0.1,0.5,0.15,0.4839
0.54,0.1,0.5,0.15,0.49560000000000004
0.55,0.1,0.5,0.15,0.5075000000000001
0.56,0.1,0.5,0.15,0.5196000000000001
0.5700000000000001,0.1,0.5,0.15,0.5319
0.58,0.1,0.5,0.15,0.5444
0.59,0.1,0.5,0.15,0.5570999999999999
0.6,0.1,0.5,0.15,0.57
0.61,0.1,0.5,0.15,0.5831
0.62,0.1,0.5,0.15,0.5964
0.63,0.1,0.5,0.15,0.6099
0.64,0.1,0.5,0.15,0.6236
0.65,0.1,0.5,0.15,0.6375000000000001
0.66,0.1,0.5,0.15,0.6516000000000001
0.67,0.1,0.5,0.15,0.6659
0.68,0.1,0.5,0.15,0.6804000000000001
0.6900000000000001,0.1,0.5,0.15,0.6951000000000002
0.7000000000000001,0.1,0.5,0.15,0.7100000000000001
0.71,0.1,0.5,0.15,0.7251
0.72,0.1,0.5,0.15,0.7404
0.73,0.1,0.5,0.15,0.7558999999999999
0.74,0.1,0.5,0.15,0.7716
0.75,0.1,0.5,0.15,0.7875
0.76,0.1,0.5,0.15,0.8036
0.77,0.1,0.5,0.15,0.8199
0.78,0.1,0.5,0.15,0.8364000000000001
0.79,0.1,0.5,0.15,0.8531000000000001
0.8,0.1,0.5,0.15,0.8700000000000002
0.81,0.1,0.5,0.15,0.8871000000000001
0.8200000000000001,0.1,0.5,0.15,0.9044000000000002
0.8300000000000001,0.1,0.5,0.15,0.9219
0.84,0.1,0.5,0.15,0.9395999999999999
0.85,0.1,0.5,0.15,0.9574999999999999
0.86,0.1,0.5,0.15,0.9755999999999999
0.87,0.1,0.5,0.15,0.9939
0.88,0.1,0.5,0.15,1.0124
0.89,0.1,0.5,0.15,1.0311
0.9,0.1,0.5,0.15,1.05
0.91,0.1,0.5,0.15,1.0691
0.92,0.1,0.5,0.15,1.0884
0.93,0.1,0.5,0.15,1.1079
0.9400000000000001,0.1,0.5,0.15,1.1276000000000002
0.9500000000000001,0.1,0.5,0.15,1.1475
0.96,0.1,0.5,0.15,1.1676
0.97,0.1,0.5,0.15,1.1879
0.98,0.1,0.5,0.15,1.2084
0.99,0.1,0.5,0.15,1.2290999999999999
1.0,0.1,0.5,0.15,1.25
0.0,0.1,0.8,0.15,0.15
0.01,0.1,0.8,0.15,0.1510625
0.02,0.1,0.8,0.15,0.15225
0.03,0.1,0.8,0.15,0.1535625
0.04,0.1,0.8,0.15,0.155
0.05,0.1,0.8,0.15,0.1565625
0.06,0.1,0.8,0.15,0.15825
0.07,0.1,0.8,0.15,0.1600625
0.08,0.1,0.8,0.15,0.162
0.09,0.1,0.8,0.15,0.1640625
0.1,0.1,0.8,0.15,0.16625
0.11,0.1,0.8,0.15,0.1685625
0.12,0.1,0.8,0.15,0.17099999999999999
0.13,0.1,0.8,0.15,0.1735625
0.14,0.1,0.8,0.15,0.17625
0.15,0.1,0.8,0.15,0.17906249999999999
0.16,0.1,0.8,0.15,0.182
0.17,0.1,0.8,0.15,0.1850625
0.18,0.1,0.8,0.15,0.18824999999999997
0.19,0.1,0.8,0.15,0.1915625
0.2,0.1,0.8,0.15,0.195
0.21,0.1,0.8,0.15,0.19856249999999998
0.22,0.1,0.8,0.15,0.20224999999999999
0.23,0.1,0.8,0.15,0.20606249999999998
0.24,0.1,0.8,0.15,0.21
0.25,0.1,0.8,0.15,0.2140625
0.26,0.1,0.8,0.15,0.21825
0.27,0.1,0.8,0.15,0.2225625
0.28,0.1,0.8,0.15,0.227
0.29,0.1,0.8,0.15,0.23156249999999998
0.3,0.1,0.8,0.15,0.23625
0.31,0.1,0.8,0.15,0.24106249999999999
0.32,0.1,0.8,0.15,0.246
0.33,0.1,0.8,0.15,0.25106249999999997
0.34,0.1,0.8,0.15,0.25625
0.35000000000000003,0.1,0.8,0.15,0.26156250000000003
0.36,0.1,0.8,0.15,0.267
0.37,0.1,0.8,0.15,0.2725625
0.38,0.1,0.8,0.15,0.27825
0.39,0.1,0.8,0.15,0.2840625
0.4,0.1,0.8,0.15,0.29000000000000004
0.41000000000000003,0.1,0.8,0.15,0.2960625
0.42,0.1,0.8,0.15,0.30224999999999996
0.43,0.1,0.8,0.15,0.30856249999999996
0.44,0.1,0.8,0.15,0.315
0.45,0.1,0.8,0.15,0.3215625
0.46,0.1,0.8,0.15,0.32825000000000004
0.47000000000000003,0.1,0.8,0.15,0.33506250000000004
0.48,0.1,0.8,0.15,0.34199999999999997
0.49,0.1,0.8,0.15,0.34906249999999994
0.5,0.1,0.8,0.15,0.35624999999999996
0.51,0.1,0.8,0.15,0.3635625
0.52,0.1,0.8,0.15,0.371
0.53,0.1,0.8,0.15,0.3785625
0.54,0.1,0.8,0.15,0.38625
0.55,0.1,0.8,0.15,0.3940625
0.56,0.1,0.8,0.15,0.402
0.5700000000000001,0.1,0.8,0.15,0.4100625
0.58,0.1,0.8,0.15,0.41825
0.59,0.1,0.8,0.15,0.42656249999999996
0.6,0.1,0.8,0.15,0.43499999999999994
0.61,0.1,0.8,0.15,0.44356249999999997
0.62,0.1,0.8,0.15,0.45225000000000004
0.63,0.1,0.8,0.15,0.46106250000000004
0.64,0.1,0.8,0.15,0.47
0.65,0.1,0.8,0.15,0.47906250000000006
0.66,0.1,0.8,0.15,0.48824999999999996
0.67,0.1,0.8,0.15,0.4975625
0.68,0.1,0.8,0.15,0.507
0.6900000000000001,0.1,0.8,0.15,0.5165625
0.7000000000000001,0.1,0.8,0.15,0.52625
0.71,0.1,0.8,0.15,0.5360625
0.72,0.1,0.8,0.15,0.5459999999999999
0.73,0.1,0.8,0.15,0.5560624999999999
0.74,0.1,0.8,0.15,0.5662499999999999
0.75,0.1,0.8,0.15,0.5765625
0.76,0.1,0.8,0.15,0.587
0.77,0.1,0.8,0.15,0.5975625
0.78,0.1,0.8,0.15,0.6082500000000001
0.79,0.1,0.8,0.15,0.6190625000000001
0.8,0.1,0.8,0.15,0.6300000000000001
0.81,0.1,0.8,0.15,0.6410625000000001
0.8200000000000001,0.1,0.8,0.15,0.6522500000000001
0.8300000000000001,0.1,0.8,0.15,0.6635625
0.84,0.1,0.8,0.15,0.6749999999999999
0.85,0.1,0.8,0.15,0.6865625
0.86,0.1,0.8,0.15,0.6982499999999999
0.87,0.1,0.8,0.15,0.7100625
0.88,0.1,0.8,0.15,0.722
0.89,0.1,0.8,0.15,0.7340625000000001
0.9,0.1,0.8,0.15,0.74625
0.91,0.1,0.8,0.15,0.7585625
0.92,0.1,0.8,0.15,0.771
0.93,0.1,0.8,0.15,0.7835625
0.9400000000000001,0.1,0.8,0.15,0.79625
0.9500000000000001,0.1,0.8,0.15,0.8090625
0.96,0.1,0.8,0.15,0.822
0.97,0.1,0.8,0.15,0.8350624999999999
0.98,0.1,0.8,0.15,0.84825
0.99,0.1,0.8,0.15,0.8615624999999999
1.0,0.1,0.8,0.15,0.875
0.0,0.3,0.3,0.15,0.15
0.01,0.3,0.3,0.15,0.15316666666666667
0.02,0.3,0.3,0.15,0.15666666666666665
0.03,0.3,0.3,0.15,0.1605
0.04,0.3,0.3,0.15,0.16466666666666666
0.05,0.3,0.3,0.15,0.16916666666666666
0.06,0.3,0.3,0.15,0.174
0.07,0.3,0.3,0.15,0.17916666666666667
0.08,0.3,0.3,0.15,0.18466666666666665
0.09,0.3,0.3,0.15,0.1905
0.1,0.3,0.3,0.15,0.19666666666666666
0.11,0.3,0.3,0.15,0.20316666666666666
0.12,0.3,0.3,0.15,0.21
0.13,0.3,0.3,0.15,0.21716666666666667
0.14,0.3,0.3,0.15,0.22466666666666668
0.15,0.3,0.3,0.15,0.23249999999999998
0.16,0.3,0.3,0.15,0.24066666666666667
0.17,0.3,0.3,0.15,0.24916666666666668
0.18,0.3,0.3,0.15,0.258
0.19,0.3,0.3,0.15,0.26716666666666666
0.2,0.3,0.3,0.15,0.27666666666666667
0.21,0.3,0.3,0.15,0.2865
0.22,0.3,0.3,0.15,0.29666666666666663
0.23,0.3,0.3,0.15,0.3071666666666667
0.24,0.3,0.3,0.15,0.31799999999999995
0.25,0.3,0.3,0.15,0.32916666666666666
0.26,0.3,0.3,0.15,0.3406666666666667
0.27,0.3,0.3,0.15,0.35250000000000004
0.28,0.3,0.3,0.15,0.3646666666666667
0.29,0.3,0.3,0.15,0.37716666666666665
0.3,0.3,0.3,0.15,0.39
0.31,0.3,0.3,0.15,0.4031666666666667
0.32,0.3,0.3,0.15,0.41666666666666674
0.33,0.3,0.3,0.15,0.4305
0.34,0.3,0.3,0.15,0.44466666666666677
0.35000000000000003,0.3,0.3,0.15,0.4591666666666667
0.36,0.3,0.3,0.15,0.474
0.37,0.3,0.3,0.15,0.48916666666666664
0.38,0.3,0.3,0.15,0.5046666666666667
0.39,0.3,0.3,0.15,0.5205000000000001
0.4,0.3,0.3,0.15,0.5366666666666667
0.41000000000000003,0.3,0.3,0.15,0.5531666666666667
0.42,0.3,0.3,0.15,0.57
0.43,0.3,0.3,0.15,0.5871666666666666
0.44,0.3,0.3,0.15,0.6046666666666667
0.45,0.3,0.3,0.15,0.6225
0.46,0.3,0.3,0.15,0.6406666666666667
0.47000000000000003,0.3,0.3,0.15,0.6591666666666668
0.48,0.3,0.3,0.15,0.678
0.49,0.3,0.3,0.15,0.6971666666666667
0.5,0.3,0.3,0.15,0.7166666666666667
0.51,0.3,0.3,0.15,0.7365
0.52,0.3,0.3,0.15,0.7566666666666667
0.53,0.3,0.3,0.15,0.7771666666666668
0.54,0.3,0.3,0.15,0.798
0.55,0.3,0.3,0.15,0.8191666666666668
0.56,0.3,0.3,0.15,0.8406666666666668
0.5700000000000001,0.3,0.3,0.15,0.8625000000000003
0.58,0.3,0.3,0.15,0.8846666666666666
0.59,0.3,0.3,0.15,0.9071666666666666
0.6,0.3,0.3,0.15,0.93
0.61,0.3,0.3,0.15,0.9531666666666666
0.62,0.3,0.3,0.15,0.9766666666666667
0.63,0.3,0.3,0.15,1.0005
0.64,0.3,0.3,0.15,1.0246666666666666
0.65,0.3,0.3,0.15,1.0491666666666666
0.66,0.3,0.3,0.15,1.074
0.67,0.3,0.3,0.15,1.0991666666666668
0.68,0.3,0.3,0.15,1.1246666666666667
0.6900000000000001,0.3,0.3,0.15,1.1505
0.7000000000000001,0.3,0.3,0.15,1.1766666666666667
0.71,0.3,0.3,0.15,1.2031666666666667
0.72,0.3,0.3,0.15,1.23
0.73,0.3,0.3,0.15,1.2571666666666665
0.74,0.3,0.3,0.15,1.2846666666666666
0.75,0.3,0.3,0.15,1.3125
