year,unique_records,with_abstract,without_abstract,abstract_coverage_percent
1990,26,3,23,11.538461538461538
1991,18,1,17,5.555555555555555
1992,21,3,18,14.285714285714286
1993,24,2,22,8.333333333333334
1994,15,3,12,20.0
1995,32,4,28,12.5
1996,21,1,20,4.761904761904762
1997,26,2,24,7.6923076923076925
1998,60,1,59,1.6666666666666667
1999,25,1,24,4.0
2000,48,2,46,4.166666666666667
2001,34,4,30,11.764705882352942
2002,36,2,34,5.555555555555555
2003,44,2,42,4.545454545454546
2004,71,8,63,11.267605633802816
2005,70,3,67,4.285714285714286
2006,57,3,54,5.2631578947368425
2007,93,11,82,11.827956989247312
2008,105,4,101,3.8095238095238093
2009,123,10,113,8.130081300813009
2010,136,8,128,5.882352941176471
2011,133,7,126,5.2631578947368425
2012,126,14,112,11.11111111111111
2013,150,25,125,16.666666666666668
2014,173,35,138,20.23121387283237
2015,136,20,116,14.705882352941176
2016,149,30,119,20.13422818791946
2017,184,48,136,26.08695652173913
2018,219,55,164,25.114155251141554
2019,254,70,184,27.559055118110237
2020,269,72,197,26.765799256505577
2021,269,111,158,41.2639405204461
2022,284,108,176,38.028169014084504
2023,374,149,225,39.839572192513366
2024,369,133,236,36.043360433604335
2025,399,164,235,41.10275689223057
2026,324,172,152,53.08641975308642
