shortlist_rank,doi,doi_url,title,authors,year,venue,type,publisher,volume,issue,pages,article_number,crossref_cited_by,relevance_score,primary_topic,topics,is_review_title,is_dataset_title,has_abstract,screening_decision,screening_reason,matched_title_categories,exact_normalized_title_doi_count,provenance
1,10.1016/j.measen.2021.100365,https://doi.org/10.1016/j.measen.2021.100365,Variational Bayesian calibration of low-cost gas sensor systems in air quality monitoring,Georgi Tancev; Federico Grasso Toro,2022,Measurement: Sensors,journal-article,Elsevier BV,19,,100365,100365,19,26,particulate_air_quality,"[""particulate_air_quality"", ""gas_sensor_calibration"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;gas_sensor_calibration;embedded_environmental_sensing,"[""env"", ""air"", ""gas"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 160, ""api_score"": 25.506231, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 159}, {""query_id"": ""Q05"", ""query_rank"": 38, ""api_score"": 25.621094, ""raw_file"": ""raw_crossref\\Q05_gas_sensor_calibration.json"", ""raw_item_index"": 37}]"
2,10.1108/sr-10-2025-0761,https://doi.org/10.1108/sr-10-2025-0761,A review of machine learning approaches for improving calibration and performance of low-cost air quality sensor networks,Chaohua Yan,2026,Sensor Review,journal-article,Emerald,,,1-21,,3,24,particulate_air_quality,"[""particulate_air_quality"", ""gas_sensor_calibration"", ""embedded_environmental_sensing""]",True,False,True,metadata_candidate,particulate_air_quality;gas_sensor_calibration;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""embedded"", ""review""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 112, ""api_score"": 27.380661, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 111}]"
3,10.1145/3446005,https://doi.org/10.1145/3446005,Low-Cost Outdoor Air Quality Monitoring and Sensor Calibration,Francesco Concas; Julien Mineraud; Eemil Lagerspetz; Samu Varjonen; Xiaoli Liu; Kai Puolamäki; Petteri Nurmi; Sasu Tarkoma,2021,ACM Transactions on Sensor Networks,journal-article,Association for Computing Machinery (ACM),17,2,1-44,,255,24,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""outdoor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 367, ""api_score"": 22.40459, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 366}]"
4,10.3390/app13052805,https://doi.org/10.3390/app13052805,Developing and Field Testing Path Planning for Robotic Aquaculture Water Quality Monitoring,Anthony Davis; Paul S. Wills; James E. Garvey; William Fairman; Md Arshadul Karim; Bing Ouyang,2023,Applied Sciences,journal-article,MDPI AG,13,5,2805,,21,24,water_quality_monitoring,"[""robotic_environmental_monitoring"", ""water_quality_monitoring"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,robotic_environmental_monitoring;water_quality_monitoring;embedded_environmental_sensing,"[""robot"", ""env"", ""water"", ""sensor"", ""nav""]",1,"[{""query_id"": ""Q06"", ""query_rank"": 190, ""api_score"": 20.858732, ""raw_file"": ""raw_crossref\\Q06_robotic_water_quality.json"", ""raw_item_index"": 189}]"
5,10.3390/s21144781,https://doi.org/10.3390/s21144781,An Approximation for Metal-Oxide Sensor Calibration for Air Quality Monitoring Using Multivariable Statistical Analysis,Diego Sales-Lérida; Alfonso J. Bello; Alberto Sánchez-Alzola; Pedro Manuel Martínez-Jiménez,2021,Sensors,journal-article,MDPI AG,21,14,4781,,20,24,particulate_air_quality,"[""particulate_air_quality"", ""gas_sensor_calibration"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;gas_sensor_calibration;embedded_environmental_sensing,"[""env"", ""air"", ""gas"", ""calib"", ""sensor""]",1,"[{""query_id"": ""Q05"", ""query_rank"": 12, ""api_score"": 28.61457, ""raw_file"": ""raw_crossref\\Q05_gas_sensor_calibration.json"", ""raw_item_index"": 11}]"
6,10.3390/atmos12050645,https://doi.org/10.3390/atmos12050645,"Improving Air Pollutant Metal Oxide Sensor Quantification Practices through: An Exploration of Sensor Signal Normalization, Multi-Sensor and Universal Calibration Model Generation, and Physical Factors Such as Co-Location Duration and Sensor Age",Kristen Okorn; Michael Hannigan,2021,Atmosphere,journal-article,MDPI AG,12,5,645,,14,24,particulate_air_quality,"[""particulate_air_quality"", ""gas_sensor_calibration"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;gas_sensor_calibration;embedded_environmental_sensing,"[""env"", ""air"", ""gas"", ""calib"", ""sensor""]",1,"[{""query_id"": ""Q05"", ""query_rank"": 39, ""api_score"": 25.585503, ""raw_file"": ""raw_crossref\\Q05_gas_sensor_calibration.json"", ""raw_item_index"": 38}]"
7,10.1080/02786826.2025.2484244,https://doi.org/10.1080/02786826.2025.2484244,Field evaluation of low-cost particulate matter (PM) sensor instruments in indoor and outdoor environments: A university lecture hall and urban southeastern United States,Sabrina Westgate; Zahra Shivji; Laura Hyesung Yang; Jean C. Rivera-Rios; Nga L. Ng,2025,Aerosol Science and Technology,journal-article,Informa UK Limited,59,10,1250-1271,,9,24,particulate_air_quality,"[""particulate_air_quality"", ""embedded_environmental_sensing""]",False,False,False,metadata_candidate,particulate_air_quality;embedded_environmental_sensing,"[""env"", ""air"", ""calib"", ""sensor"", ""outdoor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 289, ""api_score"": 23.184853, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 288}]"
8,10.46488/nept.2022.v21i01.041,https://doi.org/10.46488/nept.2022.v21i01.041,Low-Cost Calibration MOS Gas Sensor for Measuring SO2 Pollutants in Ambient Air,R. Purbakawaca; A.S. Yuwono; I.D.M. Subrata; H. Alatas,2022,Nature Environment and Pollution Technology,journal-article,Technoscience Publications,21,1,339-347,,1,24,particulate_air_quality,"[""particulate_air_quality"", ""gas_sensor_calibration"", ""embedded_environmental_sensing""]",False,False,True,metadata_candidate,particulate_air_quality;gas_sensor_calibration;embedded_environmental_sensing,"[""env"", ""gas"", ""calib"", ""sensor"", ""embedded""]",1,"[{""query_id"": ""Q04"", ""query_rank"": 320, ""api_score"": 22.813484, ""raw_file"": ""raw_crossref\\Q04_low_cost_particle_calibration.json"", ""raw_item_index"": 319}]"
9,10.1149/ma2016-02/50/3807,https://doi.org/10.1149/ma2016-02/50/3807,Active Airflow Generation to Assist Robotic Gas Source Localization: Initial Experiments in Outdoor Environment,Ayano Murai; Haruka Matsukura; Ryuichi Takemura; Hiroshi Ishida,2016,ECS Meeting Abstracts,journal-article,The Electrochemical Society,MA2016-02,50,3807-3807,,0,24,gas_olfaction_mapping,"[""robotic_environmental_monitoring"", ""gas_olfaction_mapping"", ""outdoor_navigation_fusion""]",False,False,True,metadata_candidate,robotic_environmental_monitoring;gas_olfaction_mapping;outdoor_navigation_fusion,"[""robot"", ""env"", ""gas"", ""nav"", ""outdoor""]",2,"[{""query_id"": ""Q03"", ""query_rank"": 26, ""api_score"": 29.443954, ""raw_file"": ""raw_crossref\\Q03_robotic_gas_mapping.json"", ""raw_item_index"": 25}]"
10,10.4314/njt.2025.5256,https://doi.org/10.4314/njt.2025.5256,Robotic and IoT devices and systems for river water quality monitoring and management: A scoping review,R. Stojche; К. Saso,2025,Nigerian Journal of Technology,journal-article,University of Nigeria,44,4,,,0,23,water_quality_monitoring,"[""robotic_environmental_monitoring"", ""water_quality_monitoring"", ""embedded_environmental_sensing""]",True,False,True,metadata_candidate,robotic_environmental_monitoring;water_quality_monitoring;embedded_environmental_sensing,"[""robot"", ""env"", ""water"", ""sensor"", ""embedded"", ""review""]",2,"[{""query_id"": ""Q06"", ""query_rank"": 116, ""api_score"": 21.62288, ""raw_file"": ""raw_crossref\\Q06_robotic_water_quality.json"", ""raw_item_index"": 115}]"
