id,type,year,title,doi,source_url,use,limit,read_scope,doi_url,checked_utc,relationship_to_census,in_ten_query_census,census_screening_decision,census_score
R01,review,2022,Gas source localization and mapping with mobile robots: A review,10.1002/rob.22109,https://onlinelibrary.wiley.com/doi/full/10.1002/rob.22109,"Primary starting review for gas-sensing hardware, ground and aerial platforms, source localization, distribution mapping, and informative path planning.",Gas mapping needs spatial localization and a measurement model; onboard gas sensing alone does not demonstrate autonomous source localization.,Publisher abstract and selected platform/mapping/discussion sections,https://doi.org/10.1002/rob.22109,2026-09-15T14:11:08.899378+00:00,also retrieved in the ten-query census,True,metadata_candidate,19
R02,review,2021,Low-Cost Outdoor Air Quality Monitoring and Sensor Calibration: A Survey and Critical Analysis,10.1145/3446005,https://arxiv.org/abs/1912.06384,"Starting survey for low-cost air sensor calibration, cross-sensitivity, environmental effects, and drift.",Literature calibration methods do not provide calibration coefficients for the rover sensors.,Author preprint abstract and bibliographic record,https://doi.org/10.1145/3446005,2026-09-15T14:11:08.899378+00:00,also retrieved in the ten-query census,True,metadata_candidate,24
R03,review,2020,A Review of Low-Cost Particulate Matter Sensors from the Developers’ Perspectives,10.3390/s20236819,https://pmc.ncbi.nlm.nih.gov/articles/PMC7730878/,Sensor-developer view of low-cost particulate monitoring and Plantower-family evaluations.,"Treat calibration and comparison results as sensor-, aerosol-, and deployment-specific.",Indexed article excerpt; full page later returned an access challenge,https://doi.org/10.3390/s20236819,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R04,empirical_sensor_evaluation,2022,Low-cost monitoring of atmospheric PM—development and testing,10.1016/j.jenvman.2021.114158,https://www.sciencedirect.com/science/article/pii/S0301479721022209,Directly relevant PMS7003 evaluation involving controlled calibration and a 15-month field deployment.,"Results belong to that study and must not be quoted as A3P5 accuracy, reliability, or maintenance validation.",Publisher abstract and highlights,https://doi.org/10.1016/j.jenvman.2021.114158,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R05,review,2021,"Connected Sensors, Innovative Sensor Deployment and Intelligent Data Analysis for Online Water Quality Monitoring",10.1109/JIOT.2021.3081772,https://researchportal.hw.ac.uk/en/publications/connected-sensors-innovative-sensor-deployment-and-intelligent-da/,"Overview linking water sensor parameters, deployment using autonomous platforms, and online data analysis.",A wheeled rover requires a specified sampling interface; aquatic-vehicle results are context rather than direct evidence for this chassis.,Author institution bibliographic record and abstract,https://doi.org/10.1109/JIOT.2021.3081772,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R06,simulator_paper,2017,GADEN: A 3D Gas Dispersion Simulator for Mobile Robot Olfaction in Realistic Environments,10.3390/s17071479,https://github.com/MAPIRlab/gaden,Reproducible gas-dispersion and gas-sensor simulation framework for future navigation and olfaction experiments.,A simulator supports controlled algorithm comparisons; it does not validate physical sensor response or field performance.,Official project README and supplied citation,https://doi.org/10.3390/s17071479,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R07,simulation_dataset,2023,VGR Dataset: A CFD-based Gas Dispersion Dataset for Mobile Robotic Olfaction,10.1007/s10846-023-02012-z,https://mapir.isa.uma.es/mapirwebsite/?p=1708,"Author-provided dataset page describes 120 airflow/gas simulations across 30 detailed house models, with GADEN/OpenFOAM files.",These are simulated indoor data; they are neither outdoor emissions observations nor measurements collected by A3P5.,Official dataset page and citation,https://doi.org/10.1007/s10846-023-02012-z,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R08,experimental_sensor_dataset,2012,Gas Sensor Array Drift Dataset,10.24432/C5RP6W,https://archive.ics.uci.edu/dataset/224/gas,Controlled metal-oxide sensor-array benchmark for drift and calibration-transfer methods.,Different sensors and controlled exposure conditions prevent direct transfer of reported model accuracy to MQ135/MQ7/MQ4 devices.,Official UCI dataset metadata and variable description,https://doi.org/10.24432/C5RP6W,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R09,field_sensor_dataset,2008,Air Quality,10.24432/C59K5F,https://archive.ics.uci.edu/dataset/360/air+quality,"UCI reports 9,358 hourly records from five metal-oxide sensors with reference gas measurements; useful for future calibration-method examples.",Different equipment and location from the rover. Preserve time order in validation and handle the documented -200 missing-value marker.,Official UCI dataset metadata and variable description,https://doi.org/10.24432/C59K5F,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R10,experimental_sensor_dataset,2015,Gas sensor array under dynamic gas mixtures,10.24432/C5WP4C,https://archive.ics.uci.edu/dataset/322/gas+sensor+array+under+dynamic+gas+mixtures,UCI reports continuous recordings from 16 Figaro sensors under varying methane/ethylene and CO/ethylene mixtures; useful for response-delay and cross-sensitivity methods.,Not MQ-series hardware or a rover field benchmark. The page contains a legacy research-only note alongside a CC BY 4.0 label; resolve terms before reuse beyond this bibliographic recommendation.,Official UCI dataset metadata and variable description,https://doi.org/10.24432/C5WP4C,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
R11,simulator_paper,2025,Gaden-RT: A Real Time and Interactive Gas Dispersion Simulator for Mobile Robotics,10.1016/j.softx.2025.102388,https://github.com/MAPIRlab/gaden,Current official GADEN project citation for the real-time interactive simulator implementation.,Cite the version actually used if future experiments adopt it; no such experiments were performed here.,Official project README and supplied citation,https://doi.org/10.1016/j.softx.2025.102388,2026-09-15T14:11:08.899378+00:00,"supplemental contextual source, outside census counts",False,,
