normalized_title,doi_count,dois
retractedworkingconditionmonitoringsystemofsubstationrobotbasedonvideomonitoring,2,"[""10.1155/2023/9767306"", ""10.1155/2022/7840507""]"
dedication,2,"[""10.1016/b978-0-12-817607-8.00004-6"", ""10.1016/b978-0-12-417049-0.00025-0""]"
copyright,4,"[""10.1016/b978-0-12-817607-8.00003-4"", ""10.1016/b978-0-12-417049-0.00018-3"", ""10.1016/b978-0-444-59395-5.02001-x"", ""10.1016/b978-0-12-811330-1.09996-8""]"
index,7,"[""10.1016/b978-0-12-817607-8.00038-1"", ""10.1016/b978-0-444-59395-5.18001-x"", ""10.1016/b978-0-12-811330-1.09994-4"", ""10.1002/9780470511121.index"", ""10.1002/9780470058725.index"", ""10.1002/9780470749685.index"", ""10.1002/9781119381440.index""]"
preface,3,"[""10.1016/b978-0-12-817607-8.00009-5"", ""10.1016/b978-0-444-59395-5.05001-9"", ""10.1016/b978-0-12-811330-1.09990-7""]"
frontmatter,15,"[""10.1016/b978-0-12-817607-8.00002-2"", ""10.1016/b978-0-12-417049-0.00017-1"", ""10.1016/b978-0-12-820131-2.01001-8"", ""10.1002/9781119422884.fmatter"", ""10.1002/9781119714521.fmatter"", ""10.1016/b978-0-12-812510-6.00012-7"", ""10.1016/b978-0-444-59395-5.01001-3"", ""10.1002/9780470511121.fmatter"", ""10.4324/9780203476796.fmatt"", ""10.1002/9780470058725.fmatter"", ""10.1016/b978-0-12-811330-1.09993-2"", ""10.1002/9780470749685.fmatter"", ""10.1002/9780470745427.fmatter"", ""10.1049/pbce073e_fm"", ""10.1115/1.861rob_fm""]"
autonomousconcretecrackmonitoringusingamobilerobotwith2dofmanipulatorandstereovisionsensors,2,"[""10.2139/ssrn.4963696"", ""10.2139/ssrn.5252834""]"
introduction,12,"[""10.1016/b978-0-12-817607-8.00026-5"", ""10.1016/b978-0-12-817607-8.00029-0"", ""10.1016/b978-0-12-817607-8.00022-8"", ""10.1016/b978-0-12-817607-8.00017-4"", ""10.1016/b978-0-12-817607-8.00012-5"", ""10.1016/b978-0-12-817607-8.00013-7"", ""10.1016/b978-0-12-817607-8.00031-9"", ""10.4324/9780203476796.ch1"", ""10.1201/9781351076418-1"", ""10.1201/9781439800058-c12"", ""10.1049/pbce073e_ch1"", ""10.1007/978-3-030-42715-3_1""]"
environmentalmonitoring,2,"[""10.2307/j.ctv1nwbqx4.11"", ""10.1007/978-3-540-88256-5_1""]"
citizensasmobilenodesofenvironmentalcollaborativemonitoringnetworks,2,"[""10.1201/9781420008609-24"", ""10.1201/9781420008609.ch13""]"
areviewofmobilerobotnavigationsystemforvolcanomonitoringapplication,2,"[""10.5614/itb.ijp.2021.32.1.1"", ""10.5614/ijp.v32i1.300""]"
mobilerobothardware,3,"[""10.1007/978-981-19-9987-1_2"", ""10.1017/cbo9780511780929.005"", ""10.1017/9781108682404.005""]"
researchonobstacleavoidanceofamobilerobotbasedonvisualinformation,2,"[""10.1201/9781315116242-83"", ""10.1201/9781315226187-281""]"
retracteddesignofservicerobotbasedonuseremotionrecognitionandenvironmentalmonitoring,2,"[""10.1155/2023/9783126"", ""10.1155/2022/3517995""]"
mobilerobots,2,"[""10.1016/b978-0-12-417049-0.00001-8"", ""10.1108/ir.2003.04930bad.007""]"
decentralizedenvironmentalmodelingbymobilesensornetworks,2,"[""10.1109/tro.2008.922895"", ""10.1109/tro.2008.921567""]"
mobilerobotcontrol,2,"[""10.1002/9781118026403.ch2"", ""10.1002/9781119534839.ch2""]"
robotcollectives,2,"[""10.1017/cbo9780511780929.013"", ""10.1017/9781108682404.015""]"
mobilerobotnavigation,2,"[""10.1201/9781315152691-14"", ""10.1201/9781003352426-4""]"
localizationofamobilefasteningrobot,3,"[""10.32920/16811227.v2"", ""10.32920/16811227.v1"", ""10.32920/16811227""]"
designoftheomnidirectionalmobilerobotcontrolsystembasedondspace,2,"[""10.1201/9781315226187-293"", ""10.1201/9781315116242-95""]"
monitoringassessmentandenvironmentalpolicy,2,"[""10.1201/9780203495476-26"", ""10.1201/9780203495476.ch22""]"
atheoreticaldesignofacombinedairandgroundunmannedvehicleforsearchandfollowadisaster,4,"[""10.2139/ssrn.5235245"", ""10.2139/ssrn.4980002"", ""10.2139/ssrn.3630790"", ""10.2139/ssrn.5747004""]"
applyingunmannedgroundvehicletechnologiestounmannedsurfacevehicles,2,"[""10.1117/12.605254"", ""10.21236/ada434099""]"
unmannedgroundvehicleforremoteenvironmentalhazardassessment,2,"[""10.36227/techrxiv.175328558.82653487/v1"", ""10.1109/isci65687.2025.11167285""]"
infraredstereocalibrationforunmannedgroundvehiclenavigation,2,"[""10.21236/ada607968"", ""10.1117/12.2053537""]"
learningmobilityadaptivecontrolalgorithmsforthenovelunmannedgroundvehiclenugv,2,"[""10.21236/ada422022"", ""10.1037/e427252005-001""]"
characteristicsofamaritimeinterdictionoperationsunmannedgroundvehicle,2,"[""10.21236/ada563950"", ""10.1117/12.918089""]"
transitioningunmannedgroundvehicleresearchtechnologies,2,"[""10.1117/12.604116"", ""10.21236/ada432516""]"
hologcsmixedrealitybasedgroundcontrolstationforunmannedaerialvehicle,2,"[""10.36227/techrxiv.17869082"", ""10.36227/techrxiv.17869082.v1""]"
rulesregulationsandcodesfordronesunmannedaerialvehiclenextgenairtransportationunmannedairsystems,2,"[""10.1016/j.jchas.2014.09.003"", ""10.1016/j.jchas.2015.04.001""]"
fixedtimeformationbehaviorcontrolforunmannedgroundvehiclemanipulators,2,"[""10.21203/rs.3.rs-7296524/v1"", ""10.1038/s41598-026-43223-2""]"
designandimplementationofproximalplanningandcontrolofanunmannedgroundvehicleinthedynamicenvironment,2,"[""10.36227/techrxiv.20336373"", ""10.36227/techrxiv.20336373.v1""]"
advancedcontroltechniquesforunmannedgroundvehicleliteraturesurvey,2,"[""10.1504/ijvp.2018.088783"", ""10.1504/ijvp.2018.10009708""]"
armygroundroboticsresearchprogram,2,"[""10.1117/12.486843"", ""10.1117/12.474442""]"
speedestimationforcontrolofanunmannedgroundvehicleusingextremelylowresolutionsensors,2,"[""10.5220/0006867202160223"", ""10.5220/0006867202060213""]"
controlofmotorvehicleemissions,2,"[""10.1201/b13168-13"", ""10.1201/b17341-13""]"
motorvehicleemissionscontrol,2,"[""10.1201/noe1566702317.ch9"", ""10.1201/noe1566702317-12""]"
activeairflowgenerationtoassistroboticgassourcelocalizationinitialexperimentsinoutdoorenvironment,2,"[""10.1149/07516.0065ecst"", ""10.1149/ma2016-02/50/3807""]"
analyticalmodelandgasleaksourcelocalizationbasedonacousticemissionforcylindricalstorage,2,"[""10.20944/preprints202504.1827.v1"", ""10.3390/app15095072""]"
detectionlocalizationandquantificationofsinglesourcemethaneemissionsonoilandgasproductionsitesusingpointinspacecontinuousmonitoringsystems,3,"[""10.26434/chemrxiv-2022-xxkk8-v2"", ""10.26434/chemrxiv-2022-xxkk8-v3"", ""10.1525/elementa.2023.00110""]"
gassourcelocalizationinindoorenvironmentsusingmultipleinexpensiverobotsandstigmergy,2,"[""10.1109/iros.2011.6048334"", ""10.1109/iros.2011.6094656""]"
analysisofrequirementsforgasflowcontrolsystemsingasdistributionpipelines,2,"[""10.2139/ssrn.5088175"", ""10.15407/srenergy2024.04.088""]"
deepcoalseamsanoverlookedsourceforlongtermnaturalgassupplies,2,"[""10.2523/26196-ms"", ""10.2118/26196-ms""]"
realtimeroboticcontrolsystemfortitaniumgasmetalarcwelding,2,"[""10.21236/ada429294"", ""10.21236/ada429714""]"
unconventionalgasrecoveryandsubsurfacewatermappingarelationshipofuntappedpotential,2,"[""10.2118/107968-ms"", ""10.2523/107968-ms""]"
modalmappingtechniquesforgeoacousticinversionandsourcelocalizationinlaterallyvaryingshallowwaterenvironments,3,"[""10.21236/ada531689"", ""10.21236/ada541767"", ""10.21236/ada533035""]"
roboticodorsourcelocalizationviavisionandolfactionfusionnavigationalgorithm,2,"[""10.20944/preprints202402.1024.v1"", ""10.3390/s24072309""]"
gasdistributionnetworktopologyproblem,2,"[""10.31219/osf.io/f4txh_v1"", ""10.31219/osf.io/f4txh""]"
gaspipelinedesignanddistributionnetworkvoltainbasin,3,"[""10.14293/pr2199.003628.v1"", ""10.2139/ssrn.6800411"", ""10.2139/ssrn.7112419""]"
odorsourcelocalizationforearlyfiredetectionbyusingmostypegassensorarraywithinfraredvision,2,"[""10.1149/1.2981135"", ""10.1149/ma2008-02/50/3110""]"
