query_id,topic,query,started_utc,finished_utc,returned_count,api_total_results,sha256,url,raw_file
Q01,mobile_robot_environment,mobile robot environmental monitoring,2026-09-15T14:05:44.217427+00:00,2026-09-15T14:06:36.465880+00:00,500,3347064,d70ab7e01b6035f6df6480a6d86577f0a5a546fbbd5f8f6ab4423e06bdc758de,https://api.crossref.org/v1/works?query.bibliographic=mobile+robot+environmental+monitoring&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q01_mobile_robot_environment.json
Q02,ground_rover_air_quality,unmanned ground vehicle air quality monitoring,2026-09-15T14:06:37.468862+00:00,2026-09-15T14:08:50.259672+00:00,500,3084454,f37923699f43cd1968100602943c3fd880dc44ddb76edf66c6ccfb733cf51799,https://api.crossref.org/v1/works?query.bibliographic=unmanned+ground+vehicle+air+quality+monitoring&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q02_ground_rover_air_quality.json
Q03,robotic_gas_mapping,robotic gas source localization gas distribution mapping,2026-09-15T14:08:51.262508+00:00,2026-09-15T14:09:58.489892+00:00,500,2402321,240cc9c7566c474de2c05aec6aaf06ee47c54ec8f34afcfe884cff88e1e64cd7,https://api.crossref.org/v1/works?query.bibliographic=robotic+gas+source+localization+gas+distribution+mapping&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q03_robotic_gas_mapping.json
Q04,low_cost_particle_calibration,low cost particulate matter sensor calibration,2026-09-15T14:09:59.491985+00:00,2026-09-15T14:10:04.610247+00:00,500,3080629,3567b2983468bfbde5a78458ede97045727e4d28f39aa346c8d1111dc120806f,https://api.crossref.org/v1/works?query.bibliographic=low+cost+particulate+matter+sensor+calibration&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q04_low_cost_particle_calibration.json
Q05,gas_sensor_calibration,metal oxide gas sensor environmental monitoring calibration,2026-09-15T14:10:05.613331+00:00,2026-09-15T14:10:11.250052+00:00,500,4893983,90adea72d22c5cf8e61440b993f40c822492aab79f036db051565ffb0703d822,https://api.crossref.org/v1/works?query.bibliographic=metal+oxide+gas+sensor+environmental+monitoring+calibration&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q05_gas_sensor_calibration.json
Q06,robotic_water_quality,robotic water quality monitoring pH turbidity,2026-09-15T14:10:12.254031+00:00,2026-09-15T14:10:16.610536+00:00,500,3833657,71fee41cd747152762cbd44bdd852a14ea6be551def67c72e01ff3aa2d6bb7bd,https://api.crossref.org/v1/works?query.bibliographic=robotic+water+quality+monitoring+pH+turbidity&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q06_robotic_water_quality.json
Q07,four_wheel_steering,four wheel independent steering mobile robot kinematics,2026-09-15T14:10:17.612704+00:00,2026-09-15T14:10:22.125940+00:00,500,1269560,1d0bd4128b2f4c8d0199bfe3bd84ebe037eede3215033c3637410fa9bdddd8fa,https://api.crossref.org/v1/works?query.bibliographic=four+wheel+independent+steering+mobile+robot+kinematics&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q07_four_wheel_steering.json
Q08,outdoor_mapping_fusion,outdoor mobile robot environmental mapping sensor fusion,2026-09-15T14:10:23.128650+00:00,2026-09-15T14:10:27.481619+00:00,500,3811590,7a46be4a8ed13a11ba4c804ddbf68a5caf7ecdb097e31d4087ba04a4e97b3e9e,https://api.crossref.org/v1/works?query.bibliographic=outdoor+mobile+robot+environmental+mapping+sensor+fusion&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q08_outdoor_mapping_fusion.json
Q09,robotic_sampling,mobile manipulator environmental sampling inspection robot,2026-09-15T14:10:28.484449+00:00,2026-09-15T14:10:33.885181+00:00,500,2898850,6f1486d24842dd09d0ddca5d1dfe1a311dd9178a7c42fb4b1bce42915cff7672,https://api.crossref.org/v1/works?query.bibliographic=mobile+manipulator+environmental+sampling+inspection+robot&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q09_robotic_sampling.json
Q10,environmental_robotics_datasets,robotics environmental monitoring benchmark dataset,2026-09-15T14:10:34.887840+00:00,2026-09-15T14:10:40.136673+00:00,500,3403424,7f17ad20220fdf44915215fa3e7290409901cd7235abd21a26a660eaa18320d4,https://api.crossref.org/v1/works?query.bibliographic=robotics+environmental+monitoring+benchmark+dataset&rows=500&offset=0&sort=relevance&order=desc&filter=from-pub-date%3A1990-01-01%2Cuntil-pub-date%3A2026-09-15,raw_crossref\Q10_environmental_robotics_datasets.json
