year,count,cohort
1990,26,all_unique
1991,18,all_unique
1992,21,all_unique
1993,24,all_unique
1994,15,all_unique
1995,32,all_unique
1996,21,all_unique
1997,26,all_unique
1998,60,all_unique
1999,25,all_unique
2000,48,all_unique
2001,34,all_unique
2002,36,all_unique
2003,44,all_unique
2004,71,all_unique
2005,70,all_unique
2006,57,all_unique
2007,93,all_unique
2008,105,all_unique
2009,123,all_unique
2010,136,all_unique
2011,133,all_unique
2012,126,all_unique
2013,150,all_unique
2014,173,all_unique
2015,136,all_unique
2016,149,all_unique
2017,184,all_unique
2018,219,all_unique
2019,254,all_unique
2020,269,all_unique
2021,269,all_unique
2022,284,all_unique
2023,374,all_unique
2024,369,all_unique
2025,399,all_unique
2026,324,all_unique
