year,count,cohort
1990,3,metadata_candidates
1991,2,metadata_candidates
1993,2,metadata_candidates
1994,3,metadata_candidates
1995,2,metadata_candidates
1996,1,metadata_candidates
1997,2,metadata_candidates
1998,8,metadata_candidates
1999,1,metadata_candidates
2000,1,metadata_candidates
2001,4,metadata_candidates
2002,4,metadata_candidates
2003,3,metadata_candidates
2004,10,metadata_candidates
2005,10,metadata_candidates
2006,14,metadata_candidates
2007,12,metadata_candidates
2008,19,metadata_candidates
2009,18,metadata_candidates
2010,19,metadata_candidates
2011,26,metadata_candidates
2012,24,metadata_candidates
2013,31,metadata_candidates
2014,30,metadata_candidates
2015,25,metadata_candidates
2016,31,metadata_candidates
2017,38,metadata_candidates
2018,56,metadata_candidates
2019,68,metadata_candidates
2020,71,metadata_candidates
2021,93,metadata_candidates
2022,87,metadata_candidates
2023,129,metadata_candidates
2024,122,metadata_candidates
2025,125,metadata_candidates
2026,118,metadata_candidates
