year,topic,count,cohort
1990,four_wheel_steering,3,all_unique
1990,gas_olfaction_mapping,1,all_unique
1990,other,19,all_unique
1990,water_quality_monitoring,3,all_unique
1991,four_wheel_steering,1,all_unique
1991,gas_olfaction_mapping,1,all_unique
1991,other,14,all_unique
1991,water_quality_monitoring,2,all_unique
1992,four_wheel_steering,7,all_unique
1992,other,14,all_unique
1993,four_wheel_steering,3,all_unique
1993,gas_olfaction_mapping,2,all_unique
1993,other,17,all_unique
1993,water_quality_monitoring,2,all_unique
1994,four_wheel_steering,6,all_unique
1994,gas_olfaction_mapping,1,all_unique
1994,other,6,all_unique
1994,water_quality_monitoring,2,all_unique
1995,four_wheel_steering,3,all_unique
1995,gas_olfaction_mapping,1,all_unique
1995,other,26,all_unique
1995,water_quality_monitoring,2,all_unique
1996,four_wheel_steering,2,all_unique
1996,gas_olfaction_mapping,1,all_unique
1996,other,17,all_unique
1996,water_quality_monitoring,1,all_unique
1997,gas_olfaction_mapping,3,all_unique
1997,other,21,all_unique
1997,particulate_air_quality,2,all_unique
1998,four_wheel_steering,1,all_unique
1998,other,49,all_unique
1998,outdoor_navigation_fusion,2,all_unique
1998,particulate_air_quality,1,all_unique
1998,water_quality_monitoring,7,all_unique
1999,four_wheel_steering,1,all_unique
1999,other,23,all_unique
1999,outdoor_navigation_fusion,1,all_unique
2000,four_wheel_steering,2,all_unique
2000,gas_olfaction_mapping,1,all_unique
2000,other,43,all_unique
2000,water_quality_monitoring,2,all_unique
2001,four_wheel_steering,3,all_unique
2001,gas_sensor_calibration,1,all_unique
2001,other,27,all_unique
2001,outdoor_navigation_fusion,2,all_unique
2001,water_quality_monitoring,1,all_unique
2002,four_wheel_steering,3,all_unique
2002,other,29,all_unique
2002,outdoor_navigation_fusion,1,all_unique
2002,robotic_environmental_monitoring,1,all_unique
2002,water_quality_monitoring,2,all_unique
2003,four_wheel_steering,2,all_unique
2003,gas_olfaction_mapping,1,all_unique
2003,other,38,all_unique
2003,water_quality_monitoring,3,all_unique
2004,four_wheel_steering,4,all_unique
2004,other,58,all_unique
2004,outdoor_navigation_fusion,2,all_unique
2004,particulate_air_quality,1,all_unique
2004,robotic_environmental_monitoring,1,all_unique
2004,water_quality_monitoring,5,all_unique
2005,four_wheel_steering,3,all_unique
2005,other,57,all_unique
2005,outdoor_navigation_fusion,2,all_unique
2005,robotic_environmental_monitoring,1,all_unique
2005,water_quality_monitoring,7,all_unique
2006,four_wheel_steering,8,all_unique
2006,gas_olfaction_mapping,2,all_unique
2006,other,39,all_unique
2006,outdoor_navigation_fusion,2,all_unique
2006,particulate_air_quality,1,all_unique
2006,water_quality_monitoring,5,all_unique
2007,embedded_environmental_sensing,2,all_unique
2007,four_wheel_steering,9,all_unique
2007,gas_olfaction_mapping,3,all_unique
2007,other,70,all_unique
2007,outdoor_navigation_fusion,3,all_unique
2007,robotic_environmental_monitoring,2,all_unique
2007,robotic_sampling,1,all_unique
2007,water_quality_monitoring,3,all_unique
2008,four_wheel_steering,8,all_unique
2008,gas_olfaction_mapping,5,all_unique
2008,other,81,all_unique
