year,topic,count,cohort
1990,water_quality_monitoring,3,metadata_candidates
1991,water_quality_monitoring,2,metadata_candidates
1993,water_quality_monitoring,2,metadata_candidates
1994,gas_olfaction_mapping,1,metadata_candidates
1994,water_quality_monitoring,2,metadata_candidates
1995,water_quality_monitoring,2,metadata_candidates
1996,water_quality_monitoring,1,metadata_candidates
1997,particulate_air_quality,2,metadata_candidates
1998,outdoor_navigation_fusion,2,metadata_candidates
1998,particulate_air_quality,1,metadata_candidates
1998,water_quality_monitoring,5,metadata_candidates
1999,outdoor_navigation_fusion,1,metadata_candidates
2000,water_quality_monitoring,1,metadata_candidates
2001,gas_sensor_calibration,1,metadata_candidates
2001,outdoor_navigation_fusion,2,metadata_candidates
2001,water_quality_monitoring,1,metadata_candidates
2002,outdoor_navigation_fusion,1,metadata_candidates
2002,robotic_environmental_monitoring,1,metadata_candidates
2002,water_quality_monitoring,2,metadata_candidates
2003,water_quality_monitoring,3,metadata_candidates
2004,four_wheel_steering,1,metadata_candidates
2004,outdoor_navigation_fusion,2,metadata_candidates
2004,particulate_air_quality,1,metadata_candidates
2004,robotic_environmental_monitoring,1,metadata_candidates
2004,water_quality_monitoring,5,metadata_candidates
2005,outdoor_navigation_fusion,2,metadata_candidates
2005,robotic_environmental_monitoring,1,metadata_candidates
2005,water_quality_monitoring,7,metadata_candidates
2006,four_wheel_steering,4,metadata_candidates
2006,gas_olfaction_mapping,2,metadata_candidates
2006,outdoor_navigation_fusion,2,metadata_candidates
2006,particulate_air_quality,1,metadata_candidates
2006,water_quality_monitoring,5,metadata_candidates
2007,embedded_environmental_sensing,2,metadata_candidates
2007,four_wheel_steering,2,metadata_candidates
2007,gas_olfaction_mapping,1,metadata_candidates
2007,outdoor_navigation_fusion,3,metadata_candidates
2007,robotic_environmental_monitoring,1,metadata_candidates
2007,water_quality_monitoring,3,metadata_candidates
2008,four_wheel_steering,4,metadata_candidates
2008,gas_olfaction_mapping,4,metadata_candidates
2008,outdoor_navigation_fusion,3,metadata_candidates
2008,water_quality_monitoring,8,metadata_candidates
2009,four_wheel_steering,3,metadata_candidates
2009,gas_olfaction_mapping,8,metadata_candidates
2009,gas_sensor_calibration,1,metadata_candidates
2009,outdoor_navigation_fusion,4,metadata_candidates
2009,particulate_air_quality,1,metadata_candidates
2009,water_quality_monitoring,1,metadata_candidates
2010,embedded_environmental_sensing,2,metadata_candidates
2010,four_wheel_steering,3,metadata_candidates
2010,gas_olfaction_mapping,3,metadata_candidates
2010,outdoor_navigation_fusion,6,metadata_candidates
2010,particulate_air_quality,1,metadata_candidates
2010,robotic_environmental_monitoring,1,metadata_candidates
2010,water_quality_monitoring,3,metadata_candidates
2011,embedded_environmental_sensing,1,metadata_candidates
2011,four_wheel_steering,2,metadata_candidates
2011,gas_olfaction_mapping,5,metadata_candidates
2011,gas_sensor_calibration,2,metadata_candidates
2011,outdoor_navigation_fusion,3,metadata_candidates
2011,particulate_air_quality,4,metadata_candidates
2011,robotic_environmental_monitoring,3,metadata_candidates
2011,water_quality_monitoring,6,metadata_candidates
2012,embedded_environmental_sensing,1,metadata_candidates
2012,four_wheel_steering,2,metadata_candidates
2012,gas_olfaction_mapping,6,metadata_candidates
2012,gas_sensor_calibration,1,metadata_candidates
2012,outdoor_navigation_fusion,1,metadata_candidates
2012,particulate_air_quality,4,metadata_candidates
2012,robotic_environmental_monitoring,2,metadata_candidates
2012,water_quality_monitoring,7,metadata_candidates
2013,embedded_environmental_sensing,2,metadata_candidates
2013,four_wheel_steering,2,metadata_candidates
2013,gas_olfaction_mapping,4,metadata_candidates
2013,gas_sensor_calibration,2,metadata_candidates
2013,outdoor_navigation_fusion,3,metadata_candidates
2013,particulate_air_quality,6,metadata_candidates
2013,robotic_environmental_monitoring,1,metadata_candidates
2013,water_quality_monitoring,11,metadata_candidates
2014,embedded_environmental_sensing,1,metadata_candidates
2014,four_wheel_steering,1,metadata_candidates
2014,gas_olfaction_mapping,7,metadata_candidates
2014,gas_sensor_calibration,1,metadata_candidates
2014,outdoor_navigation_fusion,7,metadata_candidates
2014,particulate_air_quality,4,metadata_candidates
2014,robotic_environmental_monitoring,1,metadata_candidates
2014,water_quality_monitoring,8,metadata_candidates
2015,embedded_environmental_sensing,1,metadata_candidates
2015,four_wheel_steering,2,metadata_candidates
2015,gas_olfaction_mapping,4,metadata_candidates
2015,gas_sensor_calibration,3,metadata_candidates
2015,outdoor_navigation_fusion,3,metadata_candidates
2015,particulate_air_quality,3,metadata_candidates
2015,robotic_environmental_monitoring,2,metadata_candidates
2015,water_quality_monitoring,7,metadata_candidates
2016,embedded_environmental_sensing,2,metadata_candidates
2016,four_wheel_steering,5,metadata_candidates
2016,gas_olfaction_mapping,5,metadata_candidates
2016,outdoor_navigation_fusion,3,metadata_candidates
2016,particulate_air_quality,4,metadata_candidates
2016,robotic_environmental_monitoring,5,metadata_candidates
2016,water_quality_monitoring,7,metadata_candidates
2017,embedded_environmental_sensing,3,metadata_candidates
2017,four_wheel_steering,6,metadata_candidates
2017,gas_olfaction_mapping,7,metadata_candidates
2017,outdoor_navigation_fusion,1,metadata_candidates
2017,particulate_air_quality,10,metadata_candidates
2017,robotic_environmental_monitoring,2,metadata_candidates
2017,robotic_sampling,1,metadata_candidates
2017,water_quality_monitoring,8,metadata_candidates
2018,embedded_environmental_sensing,2,metadata_candidates
2018,four_wheel_steering,4,metadata_candidates
2018,gas_olfaction_mapping,8,metadata_candidates
2018,outdoor_navigation_fusion,5,metadata_candidates
2018,particulate_air_quality,19,metadata_candidates
2018,robotic_environmental_monitoring,2,metadata_candidates
2018,robotic_sampling,1,metadata_candidates
2018,water_quality_monitoring,15,metadata_candidates
2019,embedded_environmental_sensing,4,metadata_candidates
2019,four_wheel_steering,8,metadata_candidates
2019,gas_olfaction_mapping,7,metadata_candidates
2019,outdoor_navigation_fusion,9,metadata_candidates
2019,particulate_air_quality,20,metadata_candidates
2019,robotic_environmental_monitoring,3,metadata_candidates
2019,water_quality_monitoring,17,metadata_candidates
2020,embedded_environmental_sensing,3,metadata_candidates
2020,four_wheel_steering,3,metadata_candidates
2020,gas_olfaction_mapping,9,metadata_candidates
2020,gas_sensor_calibration,5,metadata_candidates
2020,outdoor_navigation_fusion,3,metadata_candidates
2020,particulate_air_quality,25,metadata_candidates
2020,robotic_environmental_monitoring,4,metadata_candidates
2020,water_quality_monitoring,19,metadata_candidates
2021,embedded_environmental_sensing,3,metadata_candidates
2021,four_wheel_steering,8,metadata_candidates
2021,gas_olfaction_mapping,3,metadata_candidates
2021,gas_sensor_calibration,2,metadata_candidates
2021,outdoor_navigation_fusion,4,metadata_candidates
2021,particulate_air_quality,44,metadata_candidates
2021,robotic_sampling,2,metadata_candidates
2021,water_quality_monitoring,27,metadata_candidates
2022,embedded_environmental_sensing,5,metadata_candidates
2022,four_wheel_steering,8,metadata_candidates
