year,topic,count,cohort
2001,gas_sensor_calibration,1,shortlist
2002,outdoor_navigation_fusion,1,shortlist
2008,outdoor_navigation_fusion,1,shortlist
2008,water_quality_monitoring,1,shortlist
2009,gas_olfaction_mapping,3,shortlist
2010,outdoor_navigation_fusion,1,shortlist
2011,gas_olfaction_mapping,1,shortlist
2012,embedded_environmental_sensing,1,shortlist
2012,four_wheel_steering,1,shortlist
2012,gas_sensor_calibration,1,shortlist
2013,four_wheel_steering,1,shortlist
2013,gas_olfaction_mapping,1,shortlist
2013,gas_sensor_calibration,2,shortlist
2013,outdoor_navigation_fusion,1,shortlist
2013,robotic_environmental_monitoring,1,shortlist
2014,outdoor_navigation_fusion,1,shortlist
2015,embedded_environmental_sensing,1,shortlist
2015,gas_sensor_calibration,1,shortlist
2015,particulate_air_quality,2,shortlist
2016,gas_olfaction_mapping,1,shortlist
2016,robotic_environmental_monitoring,1,shortlist
2017,embedded_environmental_sensing,1,shortlist
2017,gas_olfaction_mapping,3,shortlist
2017,particulate_air_quality,2,shortlist
2017,robotic_sampling,1,shortlist
2017,water_quality_monitoring,1,shortlist
2018,gas_olfaction_mapping,2,shortlist
2018,outdoor_navigation_fusion,2,shortlist
2018,particulate_air_quality,3,shortlist
2018,robotic_environmental_monitoring,1,shortlist
2018,robotic_sampling,1,shortlist
2019,outdoor_navigation_fusion,1,shortlist
2019,particulate_air_quality,4,shortlist
2019,water_quality_monitoring,1,shortlist
2020,embedded_environmental_sensing,1,shortlist
2020,particulate_air_quality,6,shortlist
2020,water_quality_monitoring,1,shortlist
2021,four_wheel_steering,2,shortlist
2021,gas_olfaction_mapping,2,shortlist
2021,gas_sensor_calibration,1,shortlist
2021,particulate_air_quality,11,shortlist
2021,robotic_sampling,1,shortlist
2021,water_quality_monitoring,1,shortlist
2022,embedded_environmental_sensing,1,shortlist
2022,four_wheel_steering,2,shortlist
2022,gas_olfaction_mapping,1,shortlist
2022,gas_sensor_calibration,2,shortlist
2022,outdoor_navigation_fusion,1,shortlist
2022,particulate_air_quality,4,shortlist
2022,water_quality_monitoring,1,shortlist
2023,embedded_environmental_sensing,2,shortlist
2023,gas_olfaction_mapping,1,shortlist
2023,gas_sensor_calibration,1,shortlist
2023,particulate_air_quality,9,shortlist
2023,robotic_environmental_monitoring,1,shortlist
2023,robotic_sampling,1,shortlist
2023,water_quality_monitoring,1,shortlist
2024,embedded_environmental_sensing,2,shortlist
2024,gas_sensor_calibration,2,shortlist
2024,particulate_air_quality,8,shortlist
2024,robotic_environmental_monitoring,1,shortlist
2024,robotic_sampling,1,shortlist
2024,water_quality_monitoring,1,shortlist
2025,four_wheel_steering,4,shortlist
2025,gas_sensor_calibration,1,shortlist
2025,outdoor_navigation_fusion,2,shortlist
2025,particulate_air_quality,3,shortlist
2025,robotic_environmental_monitoring,4,shortlist
2025,robotic_sampling,1,shortlist
2025,water_quality_monitoring,3,shortlist
2026,embedded_environmental_sensing,3,shortlist
2026,four_wheel_steering,2,shortlist
2026,outdoor_navigation_fusion,1,shortlist
2026,particulate_air_quality,4,shortlist
2026,robotic_environmental_monitoring,3,shortlist
2026,robotic_sampling,1,shortlist
2026,water_quality_monitoring,1,shortlist
